Date,EURUSD1M BGN Curncy  (L1),AUDJPY1M BGN Curncy  (R1)
2025-10-02,21.9,-26.89
2025-10-01,22.14,-28.34
2025-09-30,22.83,-29.29
2025-09-29,23.66,-30.05
2025-09-26,22.51,-27.74
2025-09-25,21.65,-26.82
2025-09-24,22.47,-27.76
2025-09-23,23.27,-28.47
2025-09-22,21.78,-28.69
2025-09-19,21.7,-26.98
2025-09-18,21.73,-27.14
2025-09-17,22.42,-27.99
2025-09-16,23.07,-28.87
2025-09-15,21.63,-27.44
2025-09-12,21.79,-27.42
2025-09-11,21.83,-27.47
2025-09-10,23.32,-28.94
2025-09-09,24.08,-29.58
2025-09-08,21.97,-26.89
2025-09-05,21.94,-26.72
2025-09-04,22.03,-26.78
2025-09-03,23.08,-28.67
2025-09-02,23.82,-29.5
2025-09-01,22.54,-26.89
2025-08-29,22.54,-26.86
2025-08-28,22.57,-26.79
2025-08-27,24.13,-27.91
2025-08-26,24.21,-27.85
2025-08-25,24.96,-28.71
2025-08-22,23.77,-26.94
2025-08-21,23.62,-26.86
2025-08-20,23.84,-26.62
2025-08-19,24.58,-27.54
2025-08-18,25.35,-28.55
2025-08-15,24.05,-26.83
2025-08-14,23.98,-26.75
2025-08-13,24.15,-28.09
2025-08-12,24.93,-29.21
2025-08-11,25.53,-29.96
2025-08-08,23.89,-29.96
2025-08-07,23.92,-27.22
2025-08-06,23.9,-27.36
2025-08-05,24.56,-27.99
2025-08-04,25.3,-28.86
2025-08-01,23.8,-28.97
2025-07-31,23.52,-27.83
2025-07-30,24.23,-28.73
2025-07-29,22.19,-26.37
2025-07-28,23.1,-27.23
2025-07-25,24.25,-28.23
2025-07-24,24.3,-28.04
2025-07-23,24.26,-28.3
2025-07-22,25.04,-29.27
2025-07-21,25.7,-30.29
2025-07-18,24.01,-30.46
2025-07-17,23.99,-28.63
2025-07-16,24.06,-29.04
2025-07-15,24.76,-30.17
2025-07-14,25.65,-30.98
2025-07-11,24.14,-29.18
2025-07-10,24.18,-29.03
2025-07-09,24.25,-29.71
2025-07-08,25.05,-30.67
2025-07-07,25.8,-29.45
2025-07-04,24.39,-27.05
2025-07-03,24.32,-27.47
2025-07-02,24.29,-27.08
2025-07-01,25.04,-28.87
2025-06-30,25.69,-30.03
2025-06-27,24.1,-27.38
2025-06-26,24.04,-27.58
2025-06-25,23.92,-28.17
2025-06-24,24.75,-28.87
2025-06-23,23.18,-27.23
2025-06-20,23.04,-27.26
2025-06-19,23.01,-27.45
2025-06-18,23.75,-29.39
2025-06-17,23.76,-29.27
2025-06-16,23.17,-27.75
2025-06-13,23.17,-27.57
2025-06-12,23.14,-27.54
2025-06-11,23.66,-28.33
2025-06-10,24.27,-29.32
2025-06-09,22.75,-27.78
2025-06-06,22.66,-27.79
2025-06-05,22.61,-27.6
2025-06-04,23.02,-28.11
2025-06-03,23.63,-29.1
2025-06-02,24.41,-30.16
2025-05-30,21.92,-27.42
2025-05-29,21.98,-27.67
2025-05-28,22.57,-28.36
2025-05-27,23.44,-29.13
2025-05-26,23.88,-29.98
2025-05-23,22.71,-28.13
2025-05-22,22.42,-28.03
2025-05-21,22.13,-28.29
2025-05-20,22.72,-29.21
2025-05-19,23.26,-30.46
2025-05-16,21.51,-28.53
2025-05-15,22.22,-29.46
2025-05-14,21.26,-28.95
2025-05-13,21.91,-30.28
2025-05-12,22.4,-30.94
2025-05-09,21.23,-28.69
2025-05-08,21.17,-28.88
2025-05-07,21.35,-29.43
2025-05-06,22.08,-30.56
2025-05-05,22.64,-30.94
2025-05-02,21.25,-31.2
2025-05-01,21.17,-31.9
2025-04-30,21.21,-28.97
2025-04-29,21.27,-29.76
2025-04-28,20.83,-30.13
2025-04-25,20.6,-28.52
2025-04-24,20.6,-28.34
2025-04-23,21.82,-28.5
2025-04-22,22.73,-31.25
2025-04-21,20.82,-29.01
2025-04-18,20.56,-28.89
2025-04-17,20.53,-29
2025-04-16,20.36,-29.07
2025-04-15,21.18,-31.03
2025-04-14,19.83,-29.33
2025-04-11,19.84,-29.46
2025-04-10,19.4,-29.01
2025-04-09,19.84,-30.07
2025-04-08,19.66,-29.58
2025-04-07,18.59,-28.95
2025-04-04,18.36,-28.42
2025-04-03,18.14,-29.43
2025-04-02,18.36,-32.74
2025-04-01,18.78,-33.62
2025-03-31,17.52,-29.28
2025-03-28,18.19,-29.33
2025-03-27,17.45,-29.9
2025-03-26,17.8,-30.93
2025-03-25,18.46,-31.71
2025-03-24,19.02,-32.78
2025-03-21,17.75,-33.62
2025-03-20,17.74,-31.02
2025-03-19,18.36,-31.35
2025-03-18,18.99,-32.58
2025-03-17,19.46,-34.47
2025-03-14,19.98,-35.26
2025-03-13,17.74,-30.86
2025-03-12,17.76,-31.07
2025-03-11,18.4,-31.68
2025-03-10,18.82,-32.4
2025-03-07,17.56,-30.79
2025-03-06,17.35,-30.97
2025-03-05,17.14,-31.07
2025-03-04,17.33,-32.03
2025-03-03,17.58,-32.81
2025-02-28,16.32,-30.87
2025-02-27,16.33,-30.67
2025-02-26,16.28,-30.59
2025-02-25,14.51,-27.87
2025-02-24,14.39,-28.04
2025-02-21,14.3,-27.98
2025-02-20,14.3,-28.28
2025-02-19,14.02,-28.41
2025-02-18,13.98,-29.64
2025-02-17,13.92,-28.8
2025-02-14,13.85,-28.99
2025-02-13,13.84,-28.95
2025-02-12,13.48,-29.39
2025-02-11,13.39,-29.1
2025-02-10,13.26,-29.02
2025-02-07,13.29,-28.92
2025-02-06,13.31,-28.83
2025-02-05,13.31,-29.36
2025-02-04,13.28,-29.53
2025-02-03,13.26,-29.96
2025-01-31,13.18,-29.97
2025-01-30,13.17,-30.07
2025-01-29,12.96,-30.44
2025-01-28,13.39,-32.18
2025-01-27,13.96,-33.4
2025-01-24,14.35,-33.36
2025-01-23,14.17,-34.38
2025-01-22,13.98,-35.81
2025-01-21,14.37,-36.78
2025-01-20,14.58,-37.78
2025-01-17,13.41,-34.35
2025-01-16,13.44,-34.29
2025-01-15,13.71,-36.19
2025-01-14,14.15,-37.56
2025-01-13,14.45,-38.44
2025-01-10,13.05,-38.09
2025-01-09,13,-35.33
2025-01-08,12.73,-35.56
2025-01-07,13.1,-36.87
2025-01-06,13.57,-37.82
2025-01-03,12.54,-35.24
2025-01-02,12.49,-35.33
2025-01-01,12.74,-35.25
2024-12-31,12.73,-35.32
2024-12-30,13.23,-35.71
2024-12-27,14.24,-35.88
2024-12-26,14.4,-39.47
2024-12-25,14.37,-39.32
2024-12-24,14.37,-38.93
2024-12-23,14.24,-39.6
2024-12-20,14.16,-39.83
2024-12-19,14.01,-39.75
2024-12-18,14.44,-39.58
2024-12-17,15.1,-41.38
2024-12-16,15.46,-42.61
2024-12-13,14.08,-38.63
2024-12-12,14.04,-38.3
2024-12-11,14.1,-39.75
2024-12-10,14.87,-40.97
2024-12-09,15.4,-41.75
2024-12-06,14.36,-37.38
2024-12-05,14.38,-37.22
2024-12-04,14.24,-37.78
2024-12-03,14.7,-38.71
2024-12-02,15.27,-40.57
2024-11-29,14.6,-42.47
2024-11-28,14.55,-44.64
2024-11-27,13.95,-35.18
2024-11-26,14.02,-35.4
2024-11-25,13.05,-34.58
2024-11-22,13.51,-36.08
2024-11-21,13.77,-37.32
2024-11-20,13.19,-36.16
2024-11-19,13.68,-37.54
2024-11-18,12.61,-35.39
2024-11-15,12.49,-35.18
2024-11-14,12.47,-35.55
2024-11-13,12.98,-36.74
2024-11-12,13.46,-38.09
2024-11-11,12.67,-35.86
2024-11-08,12.73,-35.74
2024-11-07,12.81,-36.42
2024-11-06,13.15,-37.46
2024-11-05,14.02,-38.34
2024-11-04,13.11,-35.6
2024-11-01,13.13,-35.69
2024-10-31,13.28,-35.48
2024-10-30,13.94,-37.13
2024-10-29,13.22,-34.47
2024-10-28,13.74,-35.77
2024-10-25,14.22,-37.11
2024-10-24,14.68,-38.4
2024-10-23,14.39,-37.38
2024-10-22,14.89,-38.29
2024-10-21,15.46,-39.17
2024-10-18,14.55,-36.97
2024-10-17,14.52,-37.16
2024-10-16,14.48,-36.79
2024-10-15,14.92,-38.07
2024-10-14,15.44,-39.68
2024-10-11,14.57,-39.68
2024-10-10,14.58,-37
2024-10-09,14.97,-38.1
2024-10-08,15.43,-39.08
2024-10-07,15.96,-40.13
2024-10-04,14.63,-40.72
2024-10-03,14.71,-36.99
2024-10-02,14.62,-38.31
2024-10-01,15.01,-39.11
2024-09-30,15.33,-40.63
2024-09-27,14.16,-36.52
2024-09-26,14.01,-37.49
2024-09-25,13.91,-37.42
2024-09-24,14.51,-38.89
2024-09-23,13.41,-36.04
2024-09-20,13.39,-36.37
2024-09-19,13.43,-35.98
2024-09-18,14.03,-36.57
2024-09-17,15.41,-37.94
2024-09-16,14.48,-35.22
2024-09-13,14.88,-35.04
2024-09-12,15,-35.14
2024-09-11,16.47,-37.47
2024-09-10,16.67,-38.07
2024-09-09,15.22,-34.84
2024-09-06,15.26,-34.6
2024-09-05,15.15,-35.28
2024-09-04,15.54,-37.64
2024-09-03,16.12,-38.78
2024-09-02,15.17,-35.91
2024-08-30,15.15,-35.63
2024-08-29,15.24,-35.65
2024-08-28,15.84,-35.75
2024-08-27,16.46,-37.05
2024-08-26,17,-38.36
2024-08-23,16.03,-36.22
2024-08-22,16,-36.16
2024-08-21,16.08,-37.35
2024-08-20,16.55,-38.53
2024-08-19,17.03,-40.05
2024-08-16,15.96,-36.72
2024-08-15,15.91,-36.65
2024-08-14,15.91,-37.48
2024-08-13,16.4,-38.85
2024-08-12,16.72,-39.77
2024-08-09,15.72,-39.74
2024-08-08,15.69,-36.45
2024-08-07,15.63,-35.71
2024-08-06,16.24,-36.42
2024-08-05,16.83,-37.47
2024-08-02,15.77,-38.14
2024-08-01,15.59,-36.58
2024-07-31,16.1,-38.3
2024-07-30,16.64,-41.47
2024-07-29,15.08,-38.13
2024-07-26,15.62,-38.91
2024-07-25,15.66,-39.11
2024-07-24,15.62,-39.71
2024-07-23,16.17,-41.47
2024-07-22,16.73,-42.92
2024-07-19,15.69,-40.51
2024-07-18,15.7,-40.45
2024-07-17,15.81,-40.12
2024-07-16,16.19,-41.84
2024-07-15,16.74,-43.74
2024-07-12,15.73,-43.75
2024-07-11,15.55,-41.09
2024-07-10,15.48,-42.88
2024-07-09,15.98,-44.01
2024-07-08,16.52,-45.54
2024-07-05,15.57,-41.43
2024-07-04,15.55,-41.11
2024-07-03,15.49,-42.34
2024-07-02,15.46,-42.27
2024-07-01,16.45,-45.74
2024-06-28,15.61,-41.46
2024-06-27,15.65,-40.71
2024-06-26,16.49,-44.32
2024-06-25,16.17,-43.09
2024-06-24,15.26,-40.3
2024-06-21,15.23,-39.84
2024-06-20,15.1,-39.4
2024-06-19,15.62,-40.57
2024-06-18,16.09,-41.81
2024-06-17,16.14,-41.56
2024-06-14,15.27,-38.95
2024-06-13,15.07,-38.63
2024-06-12,15.6,-41.44
2024-06-11,16.01,-42.42
2024-06-10,15.02,-38.44
2024-06-07,14.95,-38.04
2024-06-06,14.92,-38.28
2024-06-05,15.16,-39.55
2024-06-04,15.65,-40.5
2024-06-03,14.49,-38.47
2024-05-31,14.82,-39.8
2024-05-30,14.33,-38.37
