EUR1M Curncy - Date,EUR1M Curncy - Last Price,JPY1M Curncy - Date,JPY1M Curncy - Last Price,GBP1M Curncy - Date,GBP1M Curncy - Last Price,CAD1M Curncy -  Date,CAD1M Curncy - Last Price
2025-09-19,21.7,2025-09-19,-47.55,2025-09-19,2.37,2025-09-19,-20.02
2025-09-18,21.73,2025-09-18,-47.56,2025-09-18,2.38,2025-09-18,-20.73
2025-09-17,22.42,2025-09-17,-48.65,2025-09-17,2.26,2025-09-17,-21.31
2025-09-16,23.07,2025-09-16,-49.92,2025-09-16,2.28,2025-09-16,-19.6
2025-09-15,21.63,2025-09-15,-47.57,2025-09-15,2.43,2025-09-15,-19.41
2025-09-12,21.79,2025-09-12,-47.63,2025-09-12,2.54,2025-09-12,-19.47
2025-09-11,21.83,2025-09-11,-47.48,2025-09-11,2.52,2025-09-11,-20.6
2025-09-10,23.32,2025-09-10,-50.86,2025-09-10,2.84,2025-09-10,-21.24
2025-09-09,24.08,2025-09-09,-52.45,2025-09-09,2.89,2025-09-09,-19.49
2025-09-08,21.97,2025-09-08,-47.93,2025-09-08,2.78,2025-09-08,-19.52
2025-09-05,21.94,2025-09-05,-47.88,2025-09-05,2.94,2025-09-05,-19.54
2025-09-04,22.03,2025-09-04,-48.44,2025-09-04,3.24,2025-09-04,-20.24
2025-09-03,23.08,2025-09-03,-50.25,2025-09-03,3.63,2025-09-03,-21.05
2025-09-02,23.82,2025-09-02,-52.15,2025-09-02,3.81,2025-09-02,-19.77
2025-09-01,22.54,2025-09-01,-48.73,2025-09-01,3.78,2025-09-01,-19.8
2025-08-29,22.54,2025-08-29,-48.78,2025-08-29,3.87,2025-08-29,-19.81
2025-08-28,22.57,2025-08-28,-48.81,2025-08-28,3.75,2025-08-28,-20.19
2025-08-27,24.13,2025-08-27,-51.22,2025-08-27,4.14,2025-08-27,-20.88
2025-08-26,24.21,2025-08-26,-51.41,2025-08-26,4.07,2025-08-26,-21.55
2025-08-25,24.96,2025-08-25,-53.19,2025-08-25,4.26,2025-08-25,-20.46
2025-08-22,23.77,2025-08-22,-49.92,2025-08-22,4.19,2025-08-22,-20.47
2025-08-21,23.62,2025-08-21,-50.6,2025-08-21,4.01,2025-08-21,-20.65
2025-08-20,23.84,2025-08-20,-50.42,2025-08-20,4.14,2025-08-20,-21.22
2025-08-19,24.58,2025-08-19,-51.99,2025-08-19,4.3,2025-08-19,-21.84
2025-08-18,25.35,2025-08-18,-53.52,2025-08-18,4.65,2025-08-18,-20.61
2025-08-15,24.05,2025-08-15,-50.43,2025-08-15,4.57,2025-08-15,-20.65
2025-08-14,23.98,2025-08-14,-50.6,2025-08-14,4.57,2025-08-14,-20.62
2025-08-13,24.15,2025-08-13,-52.27,2025-08-13,4.62,2025-08-13,-21.15
2025-08-12,24.93,2025-08-12,-54.32,2025-08-12,4.8,2025-08-12,-21.9
2025-08-11,25.53,2025-08-11,-56.06,2025-08-11,4.83,2025-08-11,-20.45
2025-08-08,23.89,2025-08-08,-55.86,2025-08-08,4.4,2025-08-08,-20.35
2025-08-07,23.92,2025-08-07,-50.64,2025-08-07,4.41,2025-08-07,-20.55
2025-08-06,23.9,2025-08-06,-50.58,2025-08-06,4.28,2025-08-06,-21.52
2025-08-05,24.56,2025-08-05,-52.2,2025-08-05,4.41,2025-08-05,-22.27
2025-08-04,25.3,2025-08-04,-53.78,2025-08-04,4.5,2025-08-04,-21.03
2025-08-01,23.8,2025-08-01,-50.73,2025-08-01,4.11,2025-08-01,-21
2025-07-31,23.52,2025-07-31,-51.87,2025-07-31,4,2025-07-31,-21.67
2025-07-30,24.23,2025-07-30,-53.07,2025-07-30,3.84,2025-07-30,-19.51
2025-07-29,22.19,2025-07-29,-47.76,2025-07-29,3.39,2025-07-29,-20.23
2025-07-28,23.1,2025-07-28,-49.42,2025-07-28,3.53,2025-07-28,-20.86
2025-07-25,24.25,2025-07-25,-50.72,2025-07-25,3.65,2025-07-25,-20.7
2025-07-24,24.3,2025-07-24,-50.14,2025-07-24,3.63,2025-07-24,-20.55
2025-07-23,24.26,2025-07-23,-50.05,2025-07-23,3.51,2025-07-23,-21.26
2025-07-22,25.04,2025-07-22,-51.83,2025-07-22,3.62,2025-07-22,-22.07
2025-07-21,25.7,2025-07-21,-53.94,2025-07-21,3.66,2025-07-21,-20.9
2025-07-18,24.01,2025-07-18,-54.5,2025-07-18,3.03,2025-07-18,-20.95
2025-07-17,23.99,2025-07-17,-51.23,2025-07-17,2.99,2025-07-17,-21.12
2025-07-16,24.06,2025-07-16,-51.07,2025-07-16,2.68,2025-07-16,-21.68
2025-07-15,24.76,2025-07-15,-53.19,2025-07-15,2.78,2025-07-15,-22.23
2025-07-14,25.65,2025-07-14,-54.34,2025-07-14,2.86,2025-07-14,-20.91
2025-07-11,24.14,2025-07-11,-50.77,2025-07-11,2.41,2025-07-11,-20.93
2025-07-10,24.18,2025-07-10,-50.48,2025-07-10,2.45,2025-07-10,-21.09
2025-07-09,24.25,2025-07-09,-52.12,2025-07-09,2.27,2025-07-09,-21.88
2025-07-08,25.05,2025-07-08,-53.83,2025-07-08,2.37,2025-07-08,-22.59
