Date,USDJPY,EURUSD,GBPUSD,USDCNH,EURJPY,AUDUSD,EURGBP,EURCHF,USDCAD,AUDCAD,CADJPY,EURCAD,CADCHF,GBPJPY,AUDJPY,CHFJPY,AUDCHF,EURAUD,GBPAUD
10/15/2025,-0.845,0.0925,-0.5425,-0.22,-0.8325,-1.2775,0.5325,-0.665,0.2575,-1.04,-1.14,0.245,-1.82,-1.045,-1.9375,-0.335,-1.67,0.9875,0.0625
10/14/2025,-0.8325,0.0675,-0.57,-0.1475,-0.88,-1.5875,0.5475,-0.6275,0.2675,-1.24,-1.13,0.325,-1.8,-1.0275,-2.2225,-0.3875,-1.9275,1.335,0.1025
10/13/2025,-0.655,0.03,-0.4675,-0.2,-0.7175,-1.165,0.5275,-0.565,0.185,-0.925,-0.87,0.23,-1.61,-0.735,-1.685,-0.2925,-1.565,0.965,0.0475
,,,,,,,,,,,,,,,,,,,
10/10/2025,-0.5875,0.0825,-0.4975,-0.205,-0.745,-1.185,0.5075,-0.5,0.145,-0.73,-0.67,0.12,-1.25,-0.6175,-1.3775,-0.2775,-1.0775,0.8475,-0.0325
10/09/2025,-0.125,-0.2375,-0.6025,-0.415,-0.3925,-0.655,0.515,-0.52,0.18,-0.52,-0.21,0.01,-1.13,-0.42,-0.785,0.2225,-0.925,0.425,-0.1725
10/08/2025,-0.0325,-0.1225,-0.58,-0.3975,-0.265,-0.6375,0.48,-0.52,0.0375,-0.535,-0.05,0.015,-1.08,-0.315,-0.7925,0.3625,-0.925,0.445,-0.1525
10/07/2025,-0.24,-0.0175,-0.505,-0.4075,-0.3025,-0.5225,0.595,-0.465,0.0375,-0.4325,-0.29,0.215,-1.16,-0.465,-0.9425,0.19,-0.88,0.405,-0.1325
10/06/2025,-0.3425,0.15,-0.49,-0.4125,-0.36,-0.4,0.59,-0.4,0.0275,-0.345,-0.4,0.28,-1.15,-0.5425,-0.99,0.0925,-0.78,0.39,-0.195
,,,,,,,,,,,,,,,,,,,
10/03/2025,-0.71,0.3325,-0.455,-0.4225,-0.44,-0.43,0.61,-0.325,0.0125,-0.365,-0.8,0.345,-1.24,-0.82,-1.1775,-0.2625,-0.8175,0.48,-0.1525
10/02/2025,-0.7325,0.3775,-0.4625,-0.4025,-0.4225,-0.4475,0.595,-0.335,0.0175,-0.365,-0.76,0.3575,-1.26,-0.83,-1.2275,-0.285,-0.825,0.515,-0.1425
10/01/2025,-0.7925,0.4175,-0.47,-0.4025,-0.4675,-0.445,0.595,-0.3275,0.015,-0.3675,-0.84,0.365,-1.25,-0.8625,-1.2675,-0.2875,-0.825,0.5025,-0.1475
09/30/2025,-0.7725,0.365,-0.4875,-0.4025,-0.4475,-0.4475,0.615,-0.3325,0.04,-0.355,-0.86,0.3575,-1.32,-0.8575,-1.2625,-0.28,-0.815,0.505,-0.1375
09/29/2025,-0.6725,0.285,-0.515,-0.4075,-0.385,-0.5375,0.6,-0.35,0.055,-0.43,-0.76,0.34,-1.33,-0.7975,-1.235,-0.1675,-0.95,0.5375,-0.125
,,,,,,,,,,,,,,,,,,,
09/26/2025,-0.5725,0.265,-0.525,-0.3525,-0.315,-0.57,0.61,-0.355,0.1125,-0.4525,-0.68,0.3375,-1.38,-0.715,-1.1575,-0.03,-0.9575,0.52,-0.115
09/25/2025,-0.51,0.2575,-0.53,-0.3125,-0.28,-0.52,0.65,-0.3525,0.1025,-0.4075,-0.65,0.355,-1.34,-0.645,-1.085,0.0125,-0.915,0.505,-0.1625
09/24/2025,-0.5525,0.42,-0.54,-0.3275,-0.2825,-0.34,0.67,-0.365,0.015,-0.2875,-0.6,0.345,-1.38,-0.67,-1.075,-0.0125,-0.8125,0.46,-0.1975
09/23/2025,-0.5325,0.485,-0.535,-0.41,-0.2875,-0.355,0.6925,-0.3675,-0.04,-0.305,-0.59,0.4175,-1.46,-0.6725,-1.09,0.01,-0.8775,0.465,-0.2125
09/22/2025,-0.505,0.45,-0.5175,-0.43,-0.295,-0.36,0.7075,-0.3725,-0.0325,-0.31,-0.61,0.3425,-1.52,-0.675,-1.09,0.0275,-0.88,0.455,-0.2225
,,,,,,,,,,,,,,,,,,,
09/19/2025,-0.54,0.4075,-0.5025,-0.46,-0.23,-0.355,0.69,-0.39,-0.045,-0.31,-0.58,0.3275,-1.5,-0.6375,-1.115,-0.0175,-0.8875,0.4225,-0.1975
09/18/2025,-0.5425,0.44,-0.265,-0.51,-0.115,-0.355,0.65,-0.3875,-0.04,-0.33,-0.6,0.3275,-1.6,-0.6025,-1.1125,0.045,-0.93,0.43,-0.0975
09/17/2025,-0.88,0.6225,-0.2125,-0.5925,-0.3375,-0.2725,0.64,-0.4,-0.04,-0.265,-0.85,0.3625,-2.1,-0.825,-1.2475,-0.23,-0.9475,0.43,-0.0975
09/16/2025,-0.885,0.665,-0.265,-0.495,-0.4275,-0.37,0.635,-0.4025,-0.0775,-0.33,-0.89,0.415,-2.01,-0.8475,-1.2475,-0.205,-1.0225,0.4925,-0.0875
09/15/2025,-0.705,0.3275,-0.39,-0.495,-0.395,-0.3,0.575,-0.4,0.0075,-0.2625,-0.83,0.3275,-1.71,-0.7825,-1.1675,-0.08,-0.875,0.37,-0.1475
,,,,,,,,,,,,,,,,,,,
09/12/2025,-0.7625,0.2825,-0.4125,-0.48,-0.4775,-0.285,0.54,-0.3925,0.045,-0.245,-0.88,0.305,-1.76,-0.8825,-1.205,-0.1025,-0.855,0.35,-0.15
09/11/2025,-0.79,0.1975,-0.44,-0.4975,-0.5775,-0.3325,0.535,-0.41,0.0425,-0.28,-0.99,0.305,-1.76,-0.955,-1.2525,-0.1725,-0.885,0.385,-0.1375
09/10/2025,-0.85,0.235,-0.415,-0.5475,-0.5925,-0.45,0.535,-0.415,0.0525,-0.345,-0.82,0.2925,-1.89,-0.97,-1.3175,-0.1775,-0.9775,0.475,-0.115
09/09/2025,-0.945,0.3775,-0.5425,-0.595,-0.6075,-0.45,0.55,-0.42,0.0375,-0.35,-0.88,0.3175,-1.98,-1.095,-1.4075,-0.27,-0.99,0.525,-0.165
09/08/2025,-0.85,0.3725,-0.5975,-0.51,-0.565,-0.52,0.5775,-0.405,0.025,-0.43,-0.81,0.315,-1.81,-1.0475,-1.3775,-0.185,-1.0425,0.525,-0.155
,,,,,,,,,,,,,,,,,,,
09/05/2025,-1.0375,0.3175,-0.6,-0.51,-0.7275,-0.5,0.555,-0.37,0.06,-0.41,-0.94,0.305,-1.76,-1.2225,-1.4225,-0.3775,-1.025,0.49,-0.165
09/04/2025,-0.9575,0.2675,-0.615,-0.49,-0.6825,-0.585,0.575,-0.3975,0.025,-0.515,-0.92,0.245,-1.66,-1.2,-1.3925,-0.3375,-1.0675,0.53,-0.17
